helpful,reviewerName,reviewerID,reviewTime,reviewText,overall,summary,asin,unixReviewTime
"[0, 0]",Amanda W.,A3HICO8WGUNJGM,"07 8, 2014","Cute, nice quality. Nice length.",5,nice quality. Nice length,B005LERHD8,1404777600
"[0, 0]",A.Mary,A3F5FQ15IE0PDG,"05 21, 2013","i don't know why, it is prob the size, but i am always a little freaked out by the eyes. other than that, it is a great piece.",4,nice except the eyes are a little creepy,B005LERHD8,1369094400
"[0, 0]",Amazon Customer,A1WPO8LZHY3YN2,"05 9, 2014",Husband got this for me and it's really cute.  Definitely cheaply made but fun for just wearing around on a regular day.,4,Cute,B005LERHD8,1399593600
"[0, 0]",Amazon Customer,A2AEFSWJCJ8Q6P,"08 15, 2013","I am using it as an acessorie on my first day of school outfit, and it is surprisingly amazing quality for the price. I am really glad I got it and in good time too!",5,Really pretty!,B005LERHD8,1376524800
"[0, 0]",Amazon Customer,A1B1YH4TZ326SX,"02 25, 2014","I order xmcheap jewelry on amazon all the tone, and it's usually fantastic, and decent. But this necklace came to me in pieces...the chain was broken in multiple places and none of the gems were attached to the owl. Also, the owl was very flimsy...not worth the money this time",1,Not worth your money,B005LERHD8,1393286400
"[0, 0]",Amazon Customer,A23L30BKF59BO4,"01 11, 2013","Very pretty.  A lot bigger than I expected.  I really don't even know if the measurements were listed, maybe I didn't pay attention, but that's okay it works.",4,Very pretty,B005LERHD8,1357862400
"[1, 1]","Amazon Customer ""Kaye Lane""",A3IH60N0KKTEIH,"08 6, 2013","I am obsessed with Owls, and when I saw this necklace, I knew I had to have it. When it arrived I was very impressed with it's construction. The stones are firmly attached and true to the photo's colors. The pendant metal is strong, and I'm not worried about it bending and breaking. The chain seems very sturdy, and held up to my gentle tugging to check it's strength. The ring attaching the pendent to the chain also seems pretty sturdy, and unlikely to break while wearing. The metal is also a nice antique brass, and seems like it will be easy enough to match to earrings. The only think that I think could be improved on would be to put some sort of clasp on the chain. As it is, it is a solid chain, and therefore you must be able to slip it on over your head. It isn't a problem for me at this time, but if I were to have a moderately sized up do, then there could possibly be a problem with getting the necklace on without messing up my hair. Other than that, it is a great necklace.",4,"Fun, sparkly, Unique Owl",B005LERHD8,1375747200
"[0, 0]","Amazon Customer ""squirlysue""",A25J5ZLVS5FGCA,"12 23, 2013",My five necklaces arrived today.  These owls represent a classic family memory.  Years ago my mother gave us all an owl necklace and this is in her memory.  They arrived early and in perfect condition.,5,Owl Necklace,B005LERHD8,1387756800
"[0, 0]",Amber,A1J2P8F49G9HQO,"01 30, 2014","I love owls, and this is adorable. The length is perfect, although you should be careful taking the packaging apart.",5,Really cute,B005LERHD8,1391040000
"[0, 0]",amber,A28R86QYMFFPA0,"03 7, 2014","i paid 86 cents for this necklace, plus free shipping. i figured it would be junky but it's actually really pretty and sturdy. i've gotten tons of compliments on it.",5,great deal,B005LERHD8,1394150400
"[0, 0]",Amber,A2MFNTFPGAKXOL,"03 28, 2014",Very cute necklace. Very pretty coloring. Those colors are just as vibrant in person. It wears very well. :) Great gift. Would buy a box with it though. It comes in a plastic baggy.,5,Nice....,B005LERHD8,1395964800
"[0, 0]",Amber Roper,A45WVAPIFZHTA,"01 6, 2014","Cute. Great for the price........ If it was any higher, I would say not to get it because it seems so fragile and easy to break but other than that, it's cute.",5,Cute,B005LERHD8,1388966400
"[1, 1]",Amber Spaulding,A1MPIG72UADQYT,"01 4, 2014",I like this necklace!  I like the colors.It is super cute and long!It did take forever to get here... that was the only bad thing.,4,like!,B005LERHD8,1388793600
"[0, 0]","Ameroq01 ""Naomi""",A1LGJNC4KJV8SM,"03 17, 2014","This necklace is adorable and so cheap! It looks cute and elegant, and can go with almost an dressy outfit! If you want a little bit of whimsical sparkle, this is the right accessory.",5,Amazing deal!,B005LERHD8,1395014400
"[0, 0]",Amy Freeman,A1XDE3Z328M3EZ,"12 10, 2012","Gave this to a friend who loves owls - it's not as cheap quality as it looks, I don't think the jewels will fall out  anytime soon",5,Super cute,B005LERHD8,1355097600
"[0, 0]",ANA,A2FAHY26BXZFWZ,"02 18, 2014",The owl is adorable but this pendant is much larger than I expected.  The connections allow the owl to be flexible and its fairly lightweight so it is comfortable.,4,very big,B005LERHD8,1392681600
"[0, 0]",Ana Santos,A1LTUBEOQP4XR1,"11 23, 2012","When this arrived i was so excited but after i wore it the first day, it broke. The part where it hooks broke so now i have to hook it with parts of the chain. It's made of weak material. As far as how it looks, i love it. But i wouldn't recommend it to someone who is on the go or moves a lot.",3,Hmm....Good,B005LERHD8,1353628800
"[0, 0]",AnayaPapaya,AE203EP4EE7XI,"01 30, 2014","It looks cheap, but I guess its because it is cheap. Good for little kids but not adults. Not bad though.",5,Cheap,B005LERHD8,1391040000
"[0, 0]",Andie Mac,A29SM9BXWMMRN8,"07 12, 2013",The colors on the owl are beautiful and clear. The necklace is long and the owl is a medium size.,3,Owl necklace,B005LERHD8,1373587200
"[75, 83]",Angela D. Moore,A1JXY9I578VQ3O,"12 26, 2011","I paid a very small amount (plus shipping) for this item so I am a little biased by the price.  I've seen the EXACT same necklace in retail stores for around ten bones which in my opinion would be way too high.  But for the small amount, this is an adorable necklace that is perfectly on trend with the owl comeback.  I am a fairly ""funky"" dresser but being in my 30's I try not to keep it too young.  I was slightly concerned about this necklace looking too teen style but with an olive tank & mustard cardigan, the bronze colored owl was perfect.",5,terrific for the price,B005LERHD8,1324857600
"[0, 0]",Angela,A2TJ58Y8SOKBS0,"05 25, 2014","This was a very pretty, vintage looking fashion necklace. The stones were actually very &#34;sparkly&#34; And, for the price, why not!",4,Very pretty!,B005LERHD8,1400976000
"[0, 0]",Angela Minaya,AO11MSNOPJQ0,"07 11, 2014","love it! they are quite cheap and beauty, i really love the owls and those are amazing!",5,Five Stars,B005LERHD8,1405036800
"[0, 0]",Angel,A3EHW6DPEYDUYC,"12 18, 2012",The price is wonderful!!! The owl is bigger than the picture and looks great in person. I love this and want to buy more. It was for a Christmas gift to a special little girl. She is going to love this!!!,5,Perfect!,B005LERHD8,1355788800
"[0, 0]",Angelica,A18DGV8V66Q9C5,"01 18, 2014","Order came way faster and the item was nicely packaged and surprisingly for the price it looks so pretty and not cheap at all! The only thing is that one eye is not entirely blue but it's hard to notice and the pendant keeps turning around but overall, my gift recipient loved it!",5,Cute!,B005LERHD8,1390003200
"[0, 0]",angelmimi,A2Z0MBZKCCO6DU,"01 6, 2014",Very cute! I have received many compliments when I have worn. I have given a few for presents and they were well received.,5,owl necklaces,B005LERHD8,1388966400
"[0, 0]",AnimeMadness,A9C5ZLYHUWY20,"12 17, 2012","It took a VERRRRY long time for me to receive this in the mail, but customer service was great when I contacted them. I'm glad I purchased this online because I've seen it other places for $15 and UP. I like the heaviness, size, and detail of the design. It's one of my favorite necklaces now.",5,Love it!,B005LERHD8,1355702400
"[0, 0]",Ann E. Snowberger,APKNHGY64IKCL,"10 16, 2013","What a surprise, I was not expecting the owl to be that large,,,I was expecting oner inch, it is a little more than 3",5,So cute,B005LERHD8,1381881600
"[0, 0]",ANON,A3FFHFJ9FWOECM,"12 11, 2012","I got this much quicker than expected (like ten days before the expected ship date) and I am happy with my purchase.  It is BIG ...the pendant is larger than the palm of my hand.  The chain was broken when it arrived, which is why I only gave it three stars.  It's an easy fix, but it made the chain slightly shorter.It appears to be cheaply made, the chain anyways, but the pendant is very nice.  Costume jewelry, but it works.  This would look cute with something black, I think, and though I intended it as a gift, I think I am going to keep it for myself and wear it as an accessory to my black sweater dress.  I love it!  And for the price, you can't go wrong getting this one.  Just order two if you want to give as a gift, because like I said, I'm keeping this one for myself!",3,very cute,B005LERHD8,1355184000
"[0, 0]",april,A2UTZJR4SM7I4B,"12 26, 2012","could be a lot better, very cheaply made and put together i'm not impressed but i gues you get what you pay for",3,Cheap,B005LERHD8,1356480000
"[0, 0]",APZ,A3VFGMYU1F44QJ,"06 14, 2013","I got these for my bridesmaids goody bags, they were well received. Just remember, you get what you pay for.",4,It is what you pay for.,B005LERHD8,1371168000
"[0, 0]",Ashlee S.,A24G5PK4GSEU3T,"10 29, 2013","I am in love with owls, so I thought this would be a nice gift to myself. It took three weeks to arrive, but that was great since it was suppose to arrive 5 to 6 weeks. This necklace is perfect. It does have a rusty, old look like other buyers have said, but it's suppose to, it's ""VINTAGE"". I have worn this with so many outfits, it has held up fine. For the price you should certainly buy this necklace.p.s. The one star that I took away is for it not having a clasp. I have a small head, but if you don't it might be hard to get the necklace on.~Ashlee Rose~",4,Great necklace,B005LERHD8,1383004800
"[0, 0]",Ashley Bayer,A2D2VKIKZ26NZ0,"02 28, 2013",I loved the necklace when i got it. It is a long chain with a thin metal owl with stones in places. Sad thing is i lost it the next day :(,5,So pretty.,B005LERHD8,1362009600
"[0, 1]",ashley elaine johnson,AO9U85SU9FI7P,"12 6, 2013",This is a great buy for a gift or for personal use. They are cheap in price but not in quality. Stock up and use them as stocking stuffers.,5,Yes!,B005LERHD8,1386288000
"[0, 0]",Ashley,AFJITL4YVUB9I,"02 27, 2014",Totally adorbs. Can wear with costume and to work as well. I love owls and sparkles so i couldnt ask for more,5,Cute,B005LERHD8,1393459200
"[1, 1]",atopaz,AWAZGG3YJMR06,"03 21, 2013","I was excited to get this, but when it arrived the chain was broken. The packing was not damaged- which means whoever put the necklace into the packaging could plainly see that the chain was broken. But because of the price its not even worth returning. Disappointed.",1,broken upon arrival,B005LERHD8,1363824000
"[0, 0]",Autumn,A386NBHW7C7T32,"01 21, 2014","It looks almost exactly like the picture (bronze is darker, gems brighter). I do love how there is no clasp, it fits perfectly over my head. I would love to buy more for my friends & family!",5,Super cute!,B005LERHD8,1390262400
"[0, 0]",bao xiong,A32IPFJR0A5XPF,"02 17, 2014",for the money its ok. got it for the daughter bady party as party favors. so if you want to buy in quantity its ok. cheap for party games,2,somthing you get at the dollar store,B005LERHD8,1392595200
"[1, 2]",Barbara Jones,AEKB9BBR4GB8I,"12 17, 2013",Not a fan of this product. I love Owls so that is why I rated this a 2. Chain is cheap and the luster of the item is very poor. I would not even give this as a gift to others either. Will NOT Recommend.,2,Owl Necklace,B005LERHD8,1387238400
"[0, 0]",Barbara J. Robinson,A11X7N5RO4H6L9,"10 28, 2013","Such a cute owl, large size will show well over sweaters and t-necks for winter wear or for someone who wants a statement piece.",4,They are a Hoot!,B005LERHD8,1382918400
"[1, 1]",barroyo,A16A5VFOGBQSDD,"07 30, 2013",Great colors and style. Goes with other owl items or just regular old outfit. One of my favorite necklaces I have,5,Owl necklace,B005LERHD8,1375142400
"[0, 0]",B. Cook,A2J19UTYODZC9Y,"01 22, 2014",This is a very cute necklace. It looks nice with a lot of things... and it was a great price.,5,"Versatile, Cute Necklace for a Great Price",B005LERHD8,1390348800
"[0, 0]","b.donahue ""b.donahue""",A1G9H0NUKUH8LQ,"05 18, 2013",theyre selling this same exact necklace on this other shoppinh website for 19.99! so great freaking deal number one and number to its freaking adorable!,5,gorgeous,B005LERHD8,1368835200
"[0, 0]",beautiful82,AY0SP69HCK3B9,"03 11, 2014","Absolutely beautiful. I love vintage jewelry or jewelry that looks older that it actually is. Although I waited quite a while for my order to arrive, it was well worth it. It is very unique and accompanies any outfit perfectly.",5,pendant,B005LERHD8,1394496000
"[0, 0]",becleecan,A2IDJWAS2Q87N6,"01 23, 2014","I thought the chain on this baby would be longer. It is only about 18 inches long which doesn't make it very long when it is doubled.The owl itself is cute but if you want a longer chain, you'll have to buy one.The crystals on the inside of the owl are glued inside and haven't come off yet. I wear it about once a week.The gold is a dark gold, almost brass color.",3,Shorter than expected,B005LERHD8,1390435200
"[0, 0]",BeeTx,A1R8R0ZQB16BGR,"03 14, 2014",I got it for a gift and it was perfect. She loved it and so did I. In fact I may order another for me. Thanks for quick reliable shipping.,5,This is very awesome!,B005LERHD8,1394755200
"[0, 0]",bellabear5,A2841XK79HBCTW,"04 8, 2014",This came exactly how it was explained and I am so happy! It's adorable! Can't wait to wear it out!!! Very light too so It won't fel like I'm dragging it around!,5,PERFECT,B005LERHD8,1396915200
"[0, 0]",bethany,A3GT71XR0WXSBU,"12 23, 2013",I bought this as a gift to me i just started collecting owls and this was so cute and cheap i couldnt say no. It looks just like the picture and will fit anyone if it fits me i highly reccomend this item and seller,5,For Me,B005LERHD8,1387756800
"[1, 1]",Beverly Pomeroy,A13UXXA6YO0AVK,"12 2, 2013","For the price you can't beat the style! My daughter loves the retro look and wears it all the time! It took a long time to get here, so don't be in a rush, but it is definitely worth the wait!",5,Retro owl is a hit,B005LERHD8,1385942400
"[0, 0]",Beverly Rosoff,A3U5M273GGGOB4,"12 17, 2012","I wore this to a play, and many people complemented me on this. It is a large piece and looks great on a black turtle-neck sweater. Good value for the money.",5,Very eye-catching,B005LERHD8,1355702400
"[1, 1]",Big-Z,A2SKEQT0WTB954,"02 17, 2013","Considering the price of this gift for a girlfriend, it is amazing and was a big hit. The glass gem stones are very sparkly and catch the sun beautifully. The whole owl and chain is nice quality and should last. I have no hesitation recommending this item. It reminds me very much of the costume jewelry at Woolworths 50 years ago with the same pricing as then! I do not know how it can be made at this price, even in China, and shipped free! I paid less for it than the current price, but that is irrelevant... it is a steal for an older woman or someone who loves owls.",5,Amazing Costume Jewelry,B005LERHD8,1361059200
"[0, 0]","blair321 ""blair""",AOSIE5ITEDVCL,"03 16, 2014","Get compliments on the necklace, and bought more for friends. Everyone seems to like it. I like buying things from overseas.",5,"Very cute, like it",B005LERHD8,1394928000
"[3, 4]",blake ducharme,ABNUFIO7SJQRL,"04 18, 2013","Don't waste your time. Broke apart before getting it out of the package completely, never even had a chance to wear it. Shame, the owl is beautiful.",1,Crap,B005LERHD8,1366243200
"[0, 0]",BLC Ohio,A3P1M63XLSY6E2,"02 15, 2014",This little fellow is kind if scary looking!!! I have not worn him yet but I am sure everyone will like it!,4,Cute,B005LERHD8,1392422400
"[0, 0]",bobbieG,A11DDUTSLAM4HF,"05 1, 2014",These may have also taken a long time to get but believe the wait was definitely worth it. It's a beautiful pendant and the person I gave it to loved it.,5,Retro Owl Pendant,B005LERHD8,1398902400
"[0, 0]",Book girl Eva,A1781C6P9VMU9Q,"04 18, 2014","If found this necklace for a buck with free shipping, and the picture looked cute so I thought since it was just a dollar why not.  I decided to order 3 so if I liked it I had 2 additional that I could give as gifts.  The pendant itself is exactly as pictured an the chain it is attached to is very long.  The first time I wore it I got many compliments, but about halfway through the day one on the links that attached one of the chain to the pendant had come undone.  It did not break, but the link itself wasn't closed all the way, and not matter how many times I reattached them the links still come undone.  Would be angry if I paid more than a dollar, but like I said you get what you pay for, and this necklace is worth a dollar",3,You get what you pay for,B005LERHD8,1397779200
"[0, 0]",Brandy Durham,A23CKP5AG4EAWN,"10 5, 2013",I loved My new necklace. It was a great price.. And lots amazing. Way better then the picture. I would recommend this product to every one...and the product arrived on time.,5,Looks better then picture....,B005LERHD8,1380931200
"[0, 0]",Brittanie Bush,A3CM6AH2KNB09O,"12 26, 2013",SO CUTE! I loved these necklaces! I bought four over these necklaces! One for myself and the others as gifts! :),5,LOVE,B005LERHD8,1388016000
"[1, 1]",Brittany,ASR0WQ9JB4IC1,"08 5, 2013",Looks exactly like the picture. It was a good price I love it and I hope my sister will too.,4,Cute,B005LERHD8,1375660800
"[0, 0]",BRLA4LSU,A32O89QR4HUTJN,"04 7, 2014","I love these, and they are adorable. The chain is a little flimsy, but when you are paying so little for an item you have to expect that. Chains can be replaced, so I'm happy with this product and it arrived sooner than expected.",5,Cannot beat the price for these!,B005LERHD8,1396828800
"[0, 0]",Brycen Edwards,A2COK6DKM6QO0O,"11 2, 2013",You get what you paid for. it is not super well made but I paid less than a buck so I am not complaining. It is a little flimsy but it is also super cute. Based on the metal in this piece though I would never buy the matching earings that you see floating around as recommendations to this purchase. What I am willing to wear around my neck I am not willing to put in my ears.,3,Not bad.,B005LERHD8,1383350400
"[0, 0]",B. Sy,ACB85Z7MMFWMY,"11 10, 2013",Does not look at all cute as the picture. Looks tarnished. You get what you pay for. I wish it looked like the picture.,3,ehh..,B005LERHD8,1384041600
"[0, 0]",Calli Collins,A22R875US22R70,"12 25, 2012","This is cheap, but cute! It breaks very easily, but if you are careful with it then you most likely won't have the problems I had!",3,You get what you pay for,B005LERHD8,1356393600
"[0, 0]",Candice Hirschman,A2Z8MA2XD55HMF,"04 10, 2014","This is a nice addition to any budding costume jewelry collector. Got this for under a few bucks, perfect!! Don't order this thinking you are getting fine jewelry, its cheap super fun necklace!",5,Gave as an awesome Gift,B005LERHD8,1397088000
"[0, 0]",Carole Mcintyre,A10RH01V89XHYW,"07 14, 2013",I bought 2 and given a gifts. Both people love them. They are very cute. Came from China bit shipping was much much faster than quoted. These are worth buying. Nice size too.,5,Cute!,B005LERHD8,1373760000
"[0, 0]",Carolen Gray,A2QSMKSU07K1HV,"02 3, 2013",The necklace is cute but it is of a cheaper material than I thought it would be. I wear it to be an accent piece for my outifts though so its ok.,3,cheaper than I thought,B005LERHD8,1359849600
"[0, 0]",Casey,A270Y8MB9VZDW6,"12 26, 2013","This chain is long and DOES NOT come with a clasp.  However, this is one of the cutest necklaces I've seen (bigger than expected), but great for the price!",5,Even cuter in person!,B005LERHD8,1388016000
"[0, 0]",Cassandra,APLL7CBHYAGGQ,"01 25, 2013","Even though this owl is a bit bigger than I expected, the fact that it is not a filled shape makes it looks smaller. It's very shiny and pretty with the little bead things. The thing I like a lot is that it has it's chain where the owl can't slide around while wearing it; so it stays in place. It doesn't have a clasp to hassle with either and the chain is plenty long enough to fit over your head, even fat heads like mine hehe. I like it and my mom wants to steal it from me. Very cute and charming.",5,Better than I hoped!,B005LERHD8,1359072000
"[1, 2]",cassie,ARF5YAIOVLCR1,"10 3, 2013",I loved the overall look of the necklace but I never got to wear it. My daughter liked it and she plays with it :),3,It was beautiful but the chain broke :(,B005LERHD8,1380758400
"[0, 0]",C~A~T,A2L0XMKSM2E33Y,"09 27, 2013","This item is cheap like the other reviews say, but what else would you expect for the price? When the item arrived I tightened all the rings holding the owl together, shortened the chain, and put on a clasp. I like this item after making a couple adjustments.",5,Cheap but totally cute.,B005LERHD8,1380240000
"[0, 0]","C. A. Wirfs ""Buyer Extraordinaire""",A3B1IKBYRM39Y6,"04 10, 2013","I bought this item really inexpensively and it's really cute.  However, the quality leaves something to be desired; it's made okay but doesn't ooze quality.  Would be a great costume jewelry piece for a younger girl or for someone who wants the ability to throw inexpensive whimsy into their wardrobe.",3,It's cute but not great quality,B005LERHD8,1365552000
"[0, 0]",CB,AVUJP7Z6BNT11,"11 5, 2013","Very eye catching. Jewels need better glue, as it did not hold up as long as I would have liked.",4,Better glue needed,B005LERHD8,1383609600
"[0, 0]",C. C. King,A1EOOM1EWVSSA1,"08 12, 2013","The charm is cute, the jewels are bright. However, the chain is continuous and does not have a clasp or closure to put it on/take it off. With my combination of big head and big hair, the necklace did not work out so well for me. I could get it on and off, but not easily enough. I had to be very careful which didn't seem worth the trouble, especially since, after receiving, I felt that it was a little young for me (I'm 27). I gave it to a coworker for her 13-yr-old daughter.",3,no clasp/closure,B005LERHD8,1376265600
"[0, 0]",Ccmarinho,AGQCN4VIHNW47,"02 10, 2014",This is a fun necklace to add to a plain shirt! The colors on the owl really pop and it's bigger than I thought it would be!,5,Fun,B005LERHD8,1391990400
"[0, 2]",Celia Valentine,A13UGU4VH0JLR,"10 4, 2013",Came fast and exactly as shown in the picture :) extremely cheap glad I took a chance on purchase I love it and the other necklaces I bought from this company. :),5,BUY THIS :),B005LERHD8,1380844800
"[0, 0]",C E Matthews,A10KHX41ONY4U1,"01 26, 2014",This is super cute and I got it at a great low price. My teenager loves to accessorize with big chunky necklaces and this works well with her taste. It is costume jewelry - so it won't last forever - but for the price - it is worth it..,5,Great Piece of Costume Jewelry.,B005LERHD8,1390694400
"[1, 2]",Cgodwin,AE83ZOB7NUZSL,"11 21, 2013","This is big and normally I do not wear big jewelry actually until the last few weeks I haven't been much of a jewelry wearer but this is so cute I will wear it. Not for a young child or a petite person as it would look gaudy on them. I am a bigger girl and I love the way it looks on me, I originally ordered it for a niece but it wouldn't look right on her and even though I have never been a fan of owls I think this is adorable and I will keep it for myself.",5,Adorable even for a person who isn't an owl person.,B005LERHD8,1384992000
"[1, 2]",chef4disney,A3R8AY1ZQAIC9U,"11 30, 2013","Cute, very vintage looking, in person, it looks darker than what is pictured. Feels a little cheap, but does not take away from the look.",4,Cute,B005LERHD8,1385769600
"[0, 0]",chels_21,A19V29WTUN6T0S,"02 26, 2013","I got this for my brother's girlfriend, who loves owls, for her birthday and she loved it. It was bigger than I expected judging from the picture but that's not a deal breaker. Quit whining people, you paid $2 for it.",5,Cute,B005LERHD8,1361836800
"[0, 0]",Chelsea,A22LPY9LAPDQOA,"04 28, 2013","I should have expected it would be cheap, but it broke on the first day I wore it.  My husband had to weld it back together for me, and now it works fine.  But if you don't have access to a way to fix it, I would pass this one up.",2,Broke the first day I wore it,B005LERHD8,1367107200
"[0, 0]",Chelsi Lee,A1B00CRK8F5G7I,"12 13, 2012","Bought it for my friend as a Christmas present. It arrived a bit earlier than expected. The necklace was in perfect condition when I opened the package. It has this vintage look to it, (note the name of the item) so if you, or a friend, is a vintage type of a person I definitely recommend it! Plus the price is amazing, can't beat this!",5,Really Cute!,B005LERHD8,1355356800
"[0, 0]",cheryl dantuono,A2U23FNU67T8KA,"03 9, 2014",really cute will give to a friend that collects owls which are hard to find  well worth the cost nice stones,5,cute,B005LERHD8,1394323200
"[0, 0]",Cheryl Dennis,AKP1DG8T1TQCM,"11 18, 2013","This will be a conversation piece.  It is very nice, although the colors don't appear to be as bright as the picture.",5,Conversation piece,B005LERHD8,1384732800
"[1, 2]",Cheryl H.,A1CKPO4W2C5PBK,"08 10, 2013","This is cute, durable, and a great bargain.Better quality than expected due to the price. The stones are all intact, no nasty glue seepage, and long matching antiqued chain.",5,Whoo doesn't like a bargain?,B005LERHD8,1376092800
"[0, 0]",Chester_s26,ADTPSVFOU5RMT,"11 3, 2013",Colors are too bright and make this look like a kid's necklace. Not my favorite but I can't complain with the price being so low.,3,Kid's necklace,B005LERHD8,1383436800
"[0, 0]",chinagirl3343,A852I21I0KLM0,"07 25, 2013",I paid $1 for this pendent and no shipping. I think it's cute. However it's much bigger than I thought it'd be. It does fit around my head... I wear a large to extra large hat... (Lol) The quality is what it is. For a $1 I'm ok with it. It's similar to what you can get from shows like Helen Brent... They have $1 sections and I'd expect this in there. I plan to wear this on in office work days. I wouldn't wear it to meet customers though.,4,Color is darker,B005LERHD8,1374710400
"[0, 1]",Christine K. Trease,A2R5OBDJPV7M6T,"08 15, 2013","Not the best quality, but it is a very nice necklace. I bought it with a matching owl cuff bracelet and it makes a striking set!",5,Nice necklace,B005LERHD8,1376524800
"[0, 0]","Cincymom ""Love my kiddos""",A29CEI6U2BLLCK,"10 26, 2013",Cute little owl. Chain not so great but this is well worth it for the price. You get what you pay for. Don't expect something of great quality,4,Cute,B005LERHD8,1382745600
"[0, 0]",Cindy Stucker,A63SUBOZPI0KQ,"02 11, 2014",I was pleasantly surprised to receive this necklace - it's much larger than I thought it would be and the colored stones are very bright and eye catching.,5,very nice for the price,B005LERHD8,1392076800
"[0, 0]",coatzzz,A1I2O8IWKYI8IO,"12 9, 2012",exactly as described and pretty fast shipping. i love the way it looks and its great to wear to parties and even on a casual day depending on what you wear it with.,5,perfect,B005LERHD8,1355011200
"[0, 0]",Code3Ron,A1XHV2T4TODA51,"11 13, 2013","I wouldn't have paid the suggested list price, but at amazons price this is a steal. It doesn't have a toy feel, but is a decent piece of jewelry. Another little something for my owl loving friend.",5,Unbelievable price  - And a nice gift,B005LERHD8,1384300800
"[0, 0]","Colleen Ruch ""Colleen Ruch""",A2QG84ZEFKUISL,"10 18, 2013",i love this necklace. bright colors and good quality. cant complain about the low price. i keep wearing it over and over,5,yay,B005LERHD8,1382054400
"[0, 0]",Colleen Wintz,A3TMT0DM8S7LDU,"12 26, 2013","Very nice piece. Only real downside is it took too long. I ordered this 2 days before Thanksgiving and I didn't arrive until the week before Christmas. It was meant as a present for my sister and I needed time to ship it to her. The shipping scheldule changed 2 times after I completed my order and wasn't expected to arrive until Jan 6th so I was forced to get something else. I will give it to her next year. Nice piece, just took to long. The price was really good too.",3,very nice piece,B005LERHD8,1388016000
"[0, 0]",Colly,A3M683NYYU7R4X,"02 8, 2013",I like this piece a lot. The colors are nice and it's an eye catcher. I gave it to my granddaughter and she loves it. Will probably order some for for stuffers.,4,Very nice,B005LERHD8,1360281600
"[0, 0]","Connie S. Taff ""Love Technology""",A1FVOVLVU7GDV8,"01 15, 2014",I ordered this for a gift for someone else but kept this necklace for myself along with the earrings.  They are adorable and I am pleased I kept them.,5,Great Necklace.,B005LERHD8,1389744000
