asin,count,star
B0000ZFIWK,5,4.2
B0000ZFRG2,10,3.9
B0000ZFROO,9,4.222222222222222
B0000ZSJ9E,16,4.6875
B00011VJ7Q,35,4.857142857142857
B00012O12A,189,4.1534391534391535
B0001455AU,8,3.625
B0001464AA,21,4.238095238095238
B0001475WG,27,4.481481481481482
B000147990,13,4.076923076923077
B000147UNU,7,4.285714285714286
B00014861K,5,4.6
B00014DZ2K,12,4.5
B000158R2M,9,4.444444444444445
B00015HKH0,6,4.666666666666667
B000163G90,49,4.326530612244898
B00016QOTE,57,4.175438596491228
B00018CAUY,5,4
B00018HRU2,5,2.8
B00018TMDC,11,4.181818181818182
B000196UJ0,41,4.073170731707317
B00019MH42,9,4.444444444444445
B0001DYW64,19,4.2631578947368425
B0001DYW9G,7,4.285714285714286
B0001H0BLA,10,4.8
B0001HIT0U,6,4
B0001HIT1Y,12,4.166666666666667
B0001HKKPW,64,3.59375
B0001I9WMI,10,3.9
B0001IA06U,10,3.8
B0001LMRH2,9,3.6666666666666665
B0001LMRWM,29,3.6551724137931036
B0001M3UWW,18,4.5
B0001MQ60A,63,4.476190476190476
B0001NLS6Q,7,5
B0001NLSFW,5,5
B0001NLTHE,5,4.2
B0001VJ2V6,11,4.2727272727272725
B0001VNCJ4,10,3.1
B0001VOD4C,5,4.8
B0001VWSFS,7,4.428571428571429
B0001WD5RC,9,3.7777777777777777
B0001XH7X4,5,4.6
B0001XLSWA,5,5
B0001XVUFA,11,4.454545454545454
B0001Y3O44,6,4.5
B0001Y8YBW,5,4.8
B0001YR4FE,6,4.5
B0001YR4S6,29,4.344827586206897
B0001YR54O,58,4.344827586206897
B0001YR55I,5,3.4
B0001YRAT4,15,4
B0001YRJSG,39,4.3076923076923075
B0001YRMW4,5,4.6
B0001YROC2,9,4
B0001YRWE2,30,4.533333333333333
B0001YRY9A,6,4.5
B0001YRYIQ,7,4.285714285714286
B0001YRYOK,17,4.352941176470588
B0001YS25K,34,4.5588235294117645
B0001YS3NG,38,4.2894736842105265
B0001YS502,5,4.8
B0001YS56Q,14,4.785714285714286
B0001YSBEW,62,4.596774193548387
B0001YWBG6,13,4.461538461538462
B0001ZNZF6,70,4.728571428571429
B0001ZNZJM,197,4.472081218274112
B0001ZO3WU,7,3.5714285714285716
B000200JQI,6,4
B00020BFSE,54,4.537037037037037
B00020J0SQ,15,4.466666666666667
B00020J0ZE,7,5
B00020J0ZO,5,4
B00020J16M,10,3.8
B00020J1GW,7,3.2857142857142856
B00020ZUC6,19,4.315789473684211
B00021NXSI,21,4.380952380952381
B00021NY28,24,4.333333333333333
B0002291TW,7,4.285714285714286
B00022JPNE,43,4.209302325581396
B00022RGTY,6,3.8333333333333335
B00023JMYU,15,4.533333333333333
B00023JONO,8,5
B00023JPMO,5,5
B00023K3YS,24,4.541666666666667
B00023K6CW,6,4
B00023K6G8,5,4.4
B00023KM0S,5,4.6
B00023S8IQ,11,4.2727272727272725
B00024EK0U,7,4.285714285714286
B00024QELS,10,4.9
B00024QVRA,11,4.181818181818182
B00024QZX0,22,3.8181818181818183
B00024W9YY,5,4.4
B00024WB24,5,4.4
B00024WC8W,5,4.8
B00024WL92,7,3.857142857142857
B00024WOTY,16,4.0625
B0002639KK,7,3.857142857142857
B00026UM5A,9,4.333333333333333
B00028B4U0,42,4.238095238095238
B00028NLRE,5,4
B000297L38,9,4.222222222222222
B00029BKAI,6,4.333333333333333
B00029PJKA,25,4.44
B00029PL5S,7,4.285714285714286
B00029R7Y6,12,4
B00029R84A,9,4.222222222222222
B0002A4K04,20,4.4
B0002AAPQM,5,4.2
B0002AAPW6,10,4
B0002BGQYQ,12,4.166666666666667
B0002CKD1M,9,4.222222222222222
B0002CQIXY,7,4.857142857142857
B0002CZKK6,18,4.611111111111111
B0002D8GFG,13,4.846153846153846
B0002DG7ZM,5,3.8
B0002DG88I,9,4.111111111111111
B0002E42CG,11,4.545454545454546
B0002EJ4XS,7,3.857142857142857
B0002FHFZQ,6,4.5
B0002FHGBO,5,4.2
B0002FHIM6,57,4.315789473684211
B0002FHIMQ,24,4.208333333333333
B0002FHIVM,34,4.147058823529412
B0002FHIWQ,14,3.5714285714285716
B0002FZRD8,9,3.7777777777777777
B0002IC652,20,4
B0002JA0WC,15,4.333333333333333
B0002JTUVE,5,4.6
B0002JUEKU,5,4.6
B0002KNLS6,5,3.4
B0002KWZ3I,5,5
B0002L01YC,7,4
B0002L0P9I,8,4.125
B0002L4MZQ,8,4.5
B0002LI7AW,15,3.8666666666666667
B0002LI8QA,13,4.3076923076923075
B0002LICNO,31,4.096774193548387
B0002LKLPQ,6,4.5
B0002LT742,28,3.6785714285714284
B0002LTFXU,9,4.222222222222222
B0002LY6BQ,15,3.6
B0002M0AQK,5,4.6
B0002M1RPI,5,4.8
B0002M4VG0,22,4.363636363636363
B0002M59PC,12,3.5833333333333335
B0002M6MBM,16,3.375
B0002M7PWW,47,4.404255319148936
B0002M8PIA,16,4.375
B0002M9DO0,7,4.714285714285714
B0002MAZ56,6,3.5
B0002MB8DY,5,4.6
B0002MB9GK,7,4.142857142857143
B0002MFOFC,15,4.2
B0002MFU3I,6,4
B0002MGM30,47,4.531914893617022
B0002MIXYG,6,4.5
B0002NYMD6,23,4.521739130434782
B0002NYPYW,8,4.75
B0002NYQN2,34,4.235294117647059
B0002NYUAQ,21,4.761904761904762
B0002NYVOG,31,4.419354838709677
B0002NZ0LO,5,4.8
B0002NZ1S6,6,3.5
B0002NZAVO,9,3.888888888888889
B0002OQ86E,8,3.5
B0002OQ9OU,5,4.4
B0002P5S0U,10,3.8
B0002P9IJW,5,4.4
B0002PNJT2,20,3.95
B0002PO0RW,27,4.2592592592592595
B0002Q8K7M,5,4.6
B0002QRZZ0,19,4.105263157894737
B0002QTQA2,55,4.4363636363636365
B0002QV9ZW,10,4.3
B0002QVA2E,7,4.571428571428571
B0002QVH9A,21,4.523809523809524
B0002QVHCC,9,4.444444444444445
B0002REM50,6,4.5
B0002RRMZ2,25,4.24
B0002SPNA2,9,4.555555555555555
B0002THUPC,5,5
B0002THW64,22,4.363636363636363
B0002THZL6,18,4.666666666666667
B0002TOR3U,13,3.8461538461538463
B0002TORBM,9,4.444444444444445
B0002TORIU,31,4.290322580645161
B0002TORTO,29,4.275862068965517
B0002TORVW,19,3.9473684210526314
B0002TOS02,12,3.5833333333333335
B0002TOS7A,38,4.2368421052631575
B0002TOSL6,12,4.833333333333333
B0002TOSWK,6,4.333333333333333
B0002TOTA6,26,4.5
B0002TOUDW,5,4.2
B0002TOW8A,9,3.4444444444444446
B0002TOXL6,8,4.625
B0002TOYTW,6,4.333333333333333
B0002TOZ00,20,4.15
B0002TOZ1E,127,4.47244094488189
B0002TOZ1Y,63,4.285714285714286
B0002TOZ2S,26,4.038461538461538
B0002TVB70,11,4.181818181818182
B0002U71R8,10,4.9
B0002UCES4,20,3.75
B0002UD2YO,5,4.4
B0002UD438,8,5
B0002UNNBG,25,3.64
B0002USAW8,64,4.28125
B0002UU56M,5,4.8
B0002V9J5Y,5,4.4
B0002VA3C2,15,4.066666666666666
B0002VG2XG,6,3.6666666666666665
B0002VN5KY,54,4.2592592592592595
B0002X66TE,11,4.7272727272727275
B0002XM9DG,5,3.6
B0002XROVS,10,4.7
B0002XSUNE,6,4.5
B0002XSXWC,38,4.578947368421052
B0002YEX2U,20,4.6
B0002YISH6,8,4.375
B0002Z1KR0,5,5
B0002ZJBYE,24,4.541666666666667
B0002ZOQZ8,7,3.4285714285714284
B00030B1GO,27,4.925925925925926
B00030FHXC,14,4.428571428571429
B00031TW6E,8,4.375
B00031XFL2,47,3.978723404255319
B0003216GM,16,4
B0003DJD0C,23,4.608695652173913
B0003DKV8K,10,4.7
B0003YDZG4,5,3.2
B00061M20E,10,4.1
B00061NHYE,6,3.8333333333333335
B00061RG1O,9,3.888888888888889
B00061RGDW,6,4.166666666666667
B00062B1IC,29,4.689655172413793
B00062N43M,7,4.714285714285714
B00062NFH2,22,4.363636363636363
B00062NHCK,10,4.4
B00062NHGQ,28,4.535714285714286
B00062NHJI,9,4.555555555555555
B00062NN42,5,5
B00062NNLK,32,4.0625
B00062NOFU,40,4.725
B00062RD02,8,4.125
B000632S9M,9,3.2222222222222223
B00063J8MW,7,4.714285714285714
B00063W3GA,5,4
B00063W5FE,7,4.428571428571429
B00064NP9I,34,4.647058823529412
B00064UU1Y,6,4.666666666666667
B00064V6LM,6,4.666666666666667
B000655TUA,20,4
B00065FWR0,16,4.5
B00065I9RK,6,3.5
B00065JZSW,5,3.2
B00065TDCU,6,4
B000661RC8,7,4.857142857142857
B000662EL6,5,4.6
B00066G516,6,4.666666666666667
B00066IT3I,7,3.5714285714285716
B00066TWMU,14,3.857142857142857
B00066W5G0,6,4.333333333333333
B000673JT6,21,4.666666666666667
B00067G3D0,16,4.5
B00067G3L2,10,4.6
B000685PV0,20,4.55
B00068TIGI,11,4.181818181818182
B00068TJ76,10,4.2
B00068TJIU,8,4
B00068TJM6,5,4.2
B00068VGOU,5,4
B0006AAS4M,36,4.305555555555555
B0006AAS56,8,4.375
B0006AAS5G,18,4.111111111111111
B0006AAS5Q,35,4.628571428571429
B0006AAS7E,44,4.181818181818182
B0006B58LO,40,3.75
B0006BBIEA,7,4.714285714285714
B0006DQ2IK,6,3.8333333333333335
B0006FKJPU,16,4.875
B0006FUCIO,5,3.2
B0006GK61Q,9,4.666666666666667
B0006GK8V4,6,4.166666666666667
B0006GN9II,6,4.666666666666667
B0006GXO8S,17,3.764705882352941
B0006GYLOE,17,3.7058823529411766
B0006GZ32I,5,4.4
B0006H5MI2,6,4.833333333333333
B0006HCSRA,6,4.666666666666667
B0006HEIM8,7,4.571428571428571
B0006HL0FG,10,4.8
B0006I3MAQ,20,4.15
B0006I3SBY,37,4.216216216216216
B0006I3W1K,11,4.545454545454546
B0006I42UK,11,4.454545454545454
B0006I49Y4,53,4.490566037735849
B0006I6UO6,7,3.5714285714285716
B0006I7I0Q,7,3
B0006I7IA6,15,4.733333333333333
B0006I7IGK,9,4.666666666666667
B0006I9X0Y,6,4.333333333333333
B0006I9YK8,12,4.333333333333333
B0006IEWWI,22,4.2272727272727275
B0006IHHMU,23,4.434782608695652
B0006IIV16,5,4.8
B0006IT6JC,52,3.480769230769231
B0006IXB0W,8,4.75
B0006IXBJ8,6,4
B0006IXC42,6,4
B0006IXC8I,14,4.142857142857143
B0006JALE0,37,4.1891891891891895
B0006JAMAI,9,4.222222222222222
B0006JAMLM,5,3.8
B0006JCGUM,27,4.555555555555555
B0006JKZ0U,7,3.5714285714285716
B0006L31QS,17,2.764705882352941
B0006L4WCA,5,4.2
B0006L51Z2,9,4.222222222222222
B0006LBXUY,8,4.375
B0006LJ8B0,34,4.147058823529412
B0006LJLMG,52,4.076923076923077
B0006LK2ZQ,10,4.2
B0006LKS6O,5,3.4
B0006LMBJ6,112,4.258928571428571
B0006LPK7G,6,3.8333333333333335
B0006LPXYQ,7,3.857142857142857
B0006LQGNS,28,4.5
B0006M1VXW,6,3.5
B0006MFKJS,11,4.7272727272727275
B0006MT8LE,9,4.222222222222222
B0006MY4EU,70,4.214285714285714
B0006MZGHO,19,4.2105263157894735
B0006MZHKA,7,3.857142857142857
B0006N53S0,7,4.857142857142857
B0006N5MY0,14,4
B0006NAS7Q,24,3.9583333333333335
B0006NH3G0,10,4
B0006NKR68,17,3.6470588235294117
B0006NU6KK,7,4.571428571428571
B0006NW8JC,12,4.333333333333333
B0006NWTFU,9,4.555555555555555
B0006OAT1K,5,4.2
B0006OATG0,22,4.681818181818182
B0006OGJZK,14,4.928571428571429
B0006PQH1K,9,4.222222222222222
B0006SCZMM,13,4.769230769230769
B0006SCZU4,6,3.6666666666666665
B0006U04NW,13,3.923076923076923
B0006U04ZA,12,3.5833333333333335
B0006U3E9S,16,4.3125
B0006U3G5A,11,4.090909090909091
B0006U67WE,62,4.629032258064516
B0006U68M8,10,4.5
B0006U695E,33,3.9393939393939394
B0006U6D3M,8,4.5
B0006UD6O6,9,4.555555555555555
B0006UD740,17,4.294117647058823
B0006UHRJQ,20,4.15
B0006UL2IS,5,4.6
B0006USFIS,10,4.4
B0006UTPT6,5,4
B0006UZWDO,6,3.8333333333333335
B0006UZX9M,12,4.833333333333333
B0006UZXII,5,4.2
B0006UZXRO,5,3.8
B0006VBFM0,5,4.4
B0006VN9EW,11,3.6363636363636362
B0006Z3HMW,22,4.090909090909091
B0006ZJMIK,6,3.3333333333333335
B00073ZLIG,9,4.333333333333333
B00074HDAO,10,4.7
B00074KYC8,7,4.857142857142857
B00074MEYE,5,4.2
B00075J1K8,7,4.571428571428571
B00075ZWR4,53,3.849056603773585
B00075ZXLE,47,4.191489361702128
B00075ZYRW,88,4.136363636363637
B000766OKM,8,4
B00076TR5Q,17,4.823529411764706
B00076VRSQ,8,4.5
B00077BVT0,6,4.166666666666667
B000782WP6,9,4.333333333333333
B000783MXW,6,4.333333333333333
B000783NW2,8,4.5
B000783OEE,12,4.166666666666667
B000783PIE,6,4.5
B000783PMA,14,4.571428571428571
B000783Q8I,15,4.466666666666667
B000783RSM,22,4.136363636363637
B000783UT8,13,4.230769230769231
B000783X5E,11,4.7272727272727275
B000783Z5M,6,4.333333333333333
B0007891JQ,7,4.142857142857143
B00078W1NE,15,4.6
B000791API,31,4.451612903225806
B000798IGC,6,4.166666666666667
B000798IMQ,5,3.8
B00079TEAQ,5,4.2
B00079UL76,21,4.523809523809524
B00079ULP8,27,4.148148148148148
B00079UM2A,51,4.098039215686274
B00079ZW6G,5,4
B0007A2K56,6,4.833333333333333
B0007CK664,15,4.133333333333334
B0007CKMA4,148,4.297297297297297
B0007CKOFM,35,4.4
B0007CKP42,9,4.222222222222222
B0007D1VQC,9,3.6666666666666665
B0007D67RA,5,4.4
B0007D8BYW,6,4.166666666666667
B0007DG61C,14,3.9285714285714284
B0007G70D2,5,3.6
B0007G8SLU,11,4
B0007GHCT4,9,4.666666666666667
B0007IQFQ8,5,4.4
B0007IR4VS,5,4.6
B0007IS2TQ,10,4
B0007KPPAI,46,4.043478260869565
B0007KXC0I,10,4.5
B0007L44EA,8,4.125
B0007LIA4K,6,4.333333333333333
B0007LLFS8,7,3.2857142857142856
B0007LNEHS,8,4.625
B0007LPM3W,79,4.506329113924051
B0007MCQC6,11,4
B0007MCQKI,5,4.4
B0007MCTSC,7,3.4285714285714284
B0007MCUTK,70,4.485714285714286
B0007MCVJO,9,4.555555555555555
B0007MFCI6,8,4.125
B0007MFUZG,5,4.4
B0007MG03M,22,4.7272727272727275
B0007MV6PO,13,4.769230769230769
B0007N2J9K,5,4.6
B0007N3NOU,6,4.166666666666667
B0007NCXBE,5,4.6
B0007NCXBY,5,4.8
B0007NI1QK,26,4.846153846153846
B0007NI1QU,12,4.5
B0007NICV4,7,3.7142857142857144
B0007NMJ3G,31,4.483870967741935
B0007OF2QG,8,4.375
B0007OF2ZW,6,4
B0007OVWZQ,5,3.8
B0007PE806,9,4.111111111111111
B0007PLXO0,5,3.6
B0007PN6E0,23,3.9130434782608696
B0007PN762,6,3.5
B0007PN9XI,26,4.3076923076923075
B0007PNAE6,9,4.333333333333333
B0007PQHXW,64,4.578125
B0007QCO6A,7,4.571428571428571
B0007QCOTM,102,4.6568627450980395
B0007QCQGI,75,4.56
B0007QCSPC,8,4
B0007QMBBS,12,4.333333333333333
B0007QMK2S,44,3.9318181818181817
B0007QMKGO,26,3.923076923076923
B0007QMMAS,18,4.111111111111111
B0007QMPOG,21,3.4285714285714284
B0007QMUCS,34,4.411764705882353
B0007QMUT6,5,4.6
B0007QN5Z4,7,4
B0007QRTUQ,6,4.5
B0007RADZ8,10,5
B0007RS8SM,15,4.533333333333333
B0007RS94K,23,4.304347826086956
B0007SN2QO,5,4.6
B0007STVPA,15,4.866666666666666
B0007STVTG,10,4
B0007SUE56,7,4.285714285714286
B0007SUEVA,56,4.321428571428571
B0007SUFDM,9,4.444444444444445
B0007SUFWS,12,4.75
B0007SXMZU,5,4.6
B0007SYOXY,12,4.916666666666667
B0007SZ4WO,23,4.478260869565218
B0007SZ578,7,4.714285714285714
B0007SZ9PQ,5,4.2
B0007SZ9WY,5,4.2
B0007SZIVQ,9,4
B0007T0ZKE,27,4.074074074074074
B0007T106W,7,4.428571428571429
B0007T10O4,10,4.3
B0007T135U,5,4
B0007T5JEQ,8,4.5
B0007TJGQI,32,4.28125
B0007TLLAC,76,4.671052631578948
B0007TLQR0,16,4.9375
B0007TLSC8,18,4.5
B0007TP63K,6,3.5
B0007TQ99U,8,4.25
B0007TQ9O0,72,4.069444444444445
B0007TQO8G,5,5
B0007TROJO,25,4.4
B0007TROQC,6,4.166666666666667
B0007TROX0,7,4.428571428571429
B0007TTSZC,39,4.256410256410256
B0007U80BY,23,4.6521739130434785
B0007UA3NC,10,4.3
B0007UDXF2,12,3.8333333333333335
B0007UM6SM,24,4.375
B0007UMA3I,7,3.142857142857143
B0007UNL5E,12,4.25
B0007UO4V4,7,4.571428571428571
B0007USPJG,9,3.6666666666666665
B0007UX0V4,6,4.833333333333333
B0007V8AGI,6,4.666666666666667
B0007V9TYU,8,5
B0007VS6CG,5,4.4
B0007VTPZS,17,4.411764705882353
B0007VU7HI,14,4.357142857142857
B0007W0BIW,6,4.5
B0007W0BJQ,12,4.833333333333333
B0007WE9F8,13,3.4615384615384617
B0007WFGWS,16,4.0625
B0007WIZSU,5,2.2
B0007WLJH4,9,4.333333333333333
B0007X355M,8,3.5
B0007X9EZW,8,4.75
B0007X9F74,23,4.130434782608695
B0007X9F7E,9,4.444444444444445
B0007X9F7O,13,3.8461538461538463
B0007XA0FU,93,4.204301075268817
B0007XJ5NI,9,4.777777777777778
B0007XWFOE,5,3.4
B0007YG9AE,44,4.295454545454546
B0007YIYKC,6,4
B0007YQU0S,10,4.3
B0007YR8WW,185,4.005405405405406
B0007YRAMA,6,4
B0007YSM0E,5,4.4
B0007YVP1W,158,4.360759493670886
B0007YX26S,9,3.4444444444444446
B0007YXRTA,61,4.032786885245901
B0007YXTOS,112,4.375
B0007YXTV6,18,4.222222222222222
B0007YXU8S,7,3.857142857142857
B0007YXUS8,26,3.9615384615384617
B0007YXVJ6,33,4.090909090909091
B0007YXW7C,9,4.222222222222222
B0007Z2MKY,15,3.533333333333333
B0007ZDTEM,17,4.411764705882353
B0007ZM042,37,4.4324324324324325
B0007ZP30K,5,4
B00080FK2U,75,4.586666666666667
B00080HDLQ,5,4.6
B00080LEZM,9,3.7777777777777777
B00080M1OU,22,4.2727272727272725
B000815M2C,7,3.5714285714285716
B000816LA4,37,4.1891891891891895
B0008172D4,7,4.571428571428571
B0008172IO,14,3.9285714285714284
B0008172S4,135,4.266666666666667
B0008172YS,9,4.111111111111111
B00081FDFS,14,4.142857142857143
B00081FOXO,5,4.4
B00081RXW4,6,4
B00081TZKM,6,3.5
B000820YBU,15,4.666666666666667
B000820YD8,6,5
B00083DGY6,18,4.055555555555555
B00083HS0E,6,4.5
B0008503PO,40,4.025
B0008506EW,11,4.090909090909091
B000851IMQ,7,4.285714285714286
B00085FIPO,30,4.533333333333333
B0008DV5G2,8,4.625
B0008EHT48,23,4
B0008ENZJG,16,3.875
B0008EO1V2,25,4.48
B0008EOB3A,36,4.111111111111111
B0008EOEPK,186,4.559139784946237
B0008EOJBE,20,4.2
B0008EOUNG,25,3.96
B0008G3HE2,7,4.571428571428571
B0008GHE1E,59,4.5423728813559325
B0008IUWCU,7,4.142857142857143
B0008IVCOW,8,4.625
B0008IVIA0,13,4.384615384615385
B0008KL9PW,16,4.5
B0008KM58W,5,4
B00091RC38,11,4.545454545454546
B00091REQS,43,4.255813953488372
B00091UK2S,7,3.5714285714285716
B000922S8G,34,4.411764705882353
B000922SGS,14,4.428571428571429
B00093540E,6,4.833333333333333
B000936JGC,5,4.8
B00093CZV0,21,3.761904761904762
B00093CZVA,8,4.625
B00093CZVU,7,3.857142857142857
B000977V4W,10,4.4
B00099D6F8,5,4.8
B00099E79W,8,5
B0009B3IN6,101,4.445544554455446
B0009B415K,11,4.090909090909091
B0009B54X8,18,4.333333333333333
B0009BCGWK,9,4.333333333333333
B0009C2TNA,10,4.9
B0009CO3MK,24,4.375
B0009DI4N8,11,4
B0009DMJ0M,7,4.142857142857143
B0009E1IZS,5,4.2
B0009E6V7I,8,4.375
B0009ETG02,7,3.142857142857143
B0009F0W5Y,25,4
B0009F0Z38,114,4.526315789473684
B0009F9QMO,52,4.5
B0009G3OZS,14,4.714285714285714
B0009G3YQW,6,4
B0009G45AQ,9,4.444444444444445
B0009G5VHC,19,4.315789473684211
B0009G7JN6,8,4.875
B0009G83IG,6,3.8333333333333335
B0009G8PN4,35,4.142857142857143
B0009G8V9M,14,4.357142857142857
B0009GA0R8,6,4.333333333333333
B0009GA6SQ,49,4.346938775510204
B0009GA6YA,24,3.7083333333333335
B0009GA9DI,14,4.142857142857143
B0009GAL9U,5,3.8
B0009GAOYC,14,3.9285714285714284
B0009GAVY0,24,4.166666666666667
B0009GBG62,45,4.088888888888889
B0009GCOZY,28,3.7857142857142856
B0009GCRIS,21,4.333333333333333
B0009GCU80,7,3.7142857142857144
B0009GCUUS,39,4.487179487179487
B0009GDGV0,10,4.1
B0009GFW94,7,4.285714285714286
B0009GG2RA,5,4.4
B0009GH012,14,4.714285714285714
B0009HAIGK,21,4.333333333333333
B0009HFOO6,9,4.333333333333333
B0009HI1TG,5,3.8
B0009HI1UK,6,4.666666666666667
B0009HN7AO,13,4.769230769230769
B0009HN7NQ,10,4.3
B0009HN7RW,6,3.1666666666666665
B0009I2HYU,11,3.5454545454545454
B0009I4JEG,10,2.9
